"locid"	"location"	"shortame"	"city"	"state"	"country"	"insttype"	"lon"	"lat"	"url"	"DUNS_NUMBER"	"bad"
"4258"	"The University of Texas-Pan American"	"The University of Texas-Pan American"	"Edinburg"	"TX"	"United States"	"0"	"-98.17391819999999"	"26.307714"	\N	\N	"0"
"4260"	"Museum Victoria"	"Museum Victoria"	"Carlton"	"Victoria"	"Australia"	"0"	"144.972326"	"-37.803657"	\N	\N	"0"
"4261"	"Gatsby Comp. Neurosci. Unit, UCL"	"Gatsby Comp. Neurosci. Unit, UCL"	"Sciences Windeyer Building"	"England"	"United Kingdom"	"0"	"-0.1380773"	"51.5211678"	\N	\N	"0"
"4262"	"CNRS & Institut des Sciences du Mouvement"	"CNRS & Institut des Sciences du Mouvement"	"Marseille"	"Provence-Alpes-Côte d'Azur"	"France"	"0"	"5.439621799999999"	"43.235558"	\N	\N	"0"
"4263"	"Ain Shams University, Cairo"	"Ain Shams University, Cairo"	"Marseille"	"Cairo Governorate"	"Egypt"	"0"	"31.2861174"	"30.0762532"	\N	\N	"0"
"4264"	"Montreal"	"Montreal"	"Montréal"	"Québec"	"Canada"	"0"	"-73.567256"	"45.5016889"	\N	\N	"5588"
"4265"	"Lake Forest College"	"Lake Forest College"	"Lake Forest"	"IL"	"United States"	"0"	"-87.828913"	"42.249058"	\N	\N	"0"
"4266"	"Facultad de Ingenieria, Universidad de Buenos Aires"	"Facultad de Ingenieria, Universidad de Buenos Aires"	"Buenos Aires"	"Ciudad Autónoma de Buenos Aires"	"Argentina"	"0"	"-58.3962122"	"-34.5884843"	\N	\N	"0"
"4267"	"Center for Neural Science, NYU"	"Center for Neural Science, NYU"	"New York"	"NY"	"United States"	"0"	"-73.9944994"	"40.7290889"	\N	\N	"0"
"4268"	"Max Planck Institute for Evolutionary Biology"	"Max Planck Institute for Evolutionary Biology"	"Plön"	"Schleswig-Holstein"	"Germany"	"0"	"10.4339215"	"54.1601708"	\N	\N	"0"
"4269"	"University of Wisconsin Milwaukee"	"University of Wisconsin Milwaukee"	\N	\N	\N	"0"	\N	\N	\N	\N	"469"
"4270"	"VA Boston, Boston University School of Medicine"	"VA Boston, Boston University School of Medicine"	"Boston"	"MA"	"United States"	"0"	"-71.0723436"	"42.3362671"	\N	\N	"0"
"4271"	"Veterans Administration, Boston"	"VA Boston"	"Boston"	"MA"	"United States"	"0"	"-71.11063229999999"	"42.3269877"	\N	\N	"0"
"4272"	"Washington and Jefferson College"	"Washington and Jefferson College"	"Washington"	"PA"	"United States"	"0"	"-80.2411929"	"40.1711253"	\N	\N	"0"
"4273"	"CNRS, Dijon, France"	"CNRS, Dijon, France"	"Vandœuvre-lès-Nancy"	"Grand Est"	"France"	"0"	"6.153957699999999"	"48.6550793"	\N	\N	"0"
"4274"	"Merck Co."	"Merck Co."	"Bogotá"	"Bogotá"	"Colombia"	"0"	"-74.11867389999999"	"4.631063399999999"	\N	\N	"0"
"4275"	"Italian Institute of Technology"	"IIT"	"Genoa"	""	"United States"	"0"	"-87.6270059"	"41.8348731"	""	\N	"0"
"4276"	"University of Wuerzburg"	"University of Wuerzburg"	"Würzburg"	"Bayern"	"Germany"	"0"	"9.9708462"	"49.7830083"	\N	\N	"0"
"4277"	"School of Pharmacy, University of London"	"School of Pharmacy, University of London"	"London"	"England"	"United Kingdom"	"0"	"-0.1223576"	"51.5252114"	\N	\N	"0"
"4278"	"W. M. Keck Foundation"	"W. M. Keck Foundation"	"Los Angeles"	"CA"	"United States"	"0"	"-118.25565"	"34.049722"	\N	\N	"0"
"4279"	"Universidad Industrial de Santander"	"Universidad Industrial de Santander"	"Bucaramanga"	"Santander"	"Colombia"	"0"	"-73.121055"	"7.142075999999999"	\N	\N	"0"
"4280"	"Institute of Cognitive Science, University of Osnabrueck"	"Institute of Cognitive Science, University of Osnabrueck"	"Osnabrück"	"Niedersachsen"	"Germany"	"0"	"8.0447914"	"52.2711024"	\N	\N	"0"
"4281"	"Lidl"	"Lidl"	"Cookstown"	"Northern Ireland"	"United Kingdom"	"0"	"-6.7404874"	"54.6465308"	\N	\N	"0"
"4282"	"U of Louisville"	"U of Louisville"	\N	\N	\N	"0"	\N	\N	\N	\N	"395"
"4283"	"MIT, Picower Institute"	"MIT, Picower Institute"	"Cambridge"	"MA"	"United States"	"0"	"-71.09160849999999"	"42.3623656"	\N	\N	"0"
"4284"	"SAPIENZA- University of Rome"	"SAPIENZA- University of Rome"	"Roma"	"Lazio"	"Italy"	"0"	"12.5144384"	"41.9037626"	\N	\N	"0"
"4285"	"Indiana"	"Indiana"	"Tipton"	"IN"	"United States"	"0"	"-86.1349019"	"40.2671941"	\N	\N	"0"
"4286"	"IPUSP"	"IPUSP"	"São Paulo"	"São Paulo"	"Brazil"	"0"	"-46.724661"	"-23.55552"	\N	\N	"0"
"4287"	"Bar Ilan University"	"Bar Ilan University"	\N	\N	\N	"0"	\N	\N	\N	\N	"18"
"4288"	"Hebrew Ubiversity Jerusalem"	"Hebrew Ubiversity Jerusalem"	\N	\N	\N	"0"	\N	\N	\N	\N	"88"
"4289"	"Ioffe PhTI"	"Ioffe PhTI"	\N	\N	\N	"0"	\N	\N	\N	\N	"0"
"4290"	"Ioffe PhTI, St.-Petersburg"	"Ioffe PhTI, St.-Petersburg"	\N	\N	\N	"0"	\N	\N	\N	\N	"0"
"4291"	"Hebrew University,  Jerusalem"	"Hebrew University,  Jerusalem"	\N	\N	\N	"0"	\N	\N	\N	\N	"88"
"4292"	"Smithsonian Institution"	"Smithsonian Institution"	"Washington"	"DC"	"United States"	"0"	"-77.0212813"	"38.8859942"	\N	\N	"0"
"4293"	"Salk Institute"	"Salk Institute"	\N	\N	\N	"0"	\N	\N	\N	\N	"258"
"4294"	"University of California Berkely"	"University of California Berkely"	\N	\N	\N	"0"	\N	\N	\N	\N	"312"
"4295"	"Federal University of Rio de Janeiro"	"Federal University of Rio de Janeiro"	"Rio de Janeiro"	"Rio de Janeiro"	"Brazil"	"0"	"-43.1753638"	"-22.9541412"	\N	\N	"0"
"4296"	"The hospital for sick children, Ontario, Canada"	"The hospital for sick children, Ontario, Canada"	"Toronto"	"Ontario"	"Canada"	"0"	"-79.3874268"	"43.6573065"	\N	\N	"0"
"4297"	"IIBCE, Montevideo, Uruguay"	"IIBCE, Montevideo, Uruguay"	"Montevideo"	"Montevideo"	"Uruguay"	"0"	"-56.1426497"	"-34.8875445"	\N	\N	"0"
"4298"	"Université Pierre et Marie Curie"	"Université Pierre et Marie Curie"	"Paris"	"Île-de-France"	"France"	"0"	"2.357499"	"48.8471036"	\N	\N	"0"
